conversationId,messageID,text
2818,22650,ment @148871
2917,23453,part*
2988,24017,You've got me?!? lol
3075,24753,YAY!!!
3297,27595,later
3329,27803,
3329,27804,
3405,28804,had the best action sequence of 2017
3480,29465,@100271 !
3595,30590,Taten Chatem
3609,30686,
3646,31058,Thats a good thing lol
3788,33021,releases^
3882,34430,gn
4484,38766,2017
4528,39264,"Orrrr, @152789"
4596,39859,preferably something animated
4833,42284,Falcore 
4908,43113,YW
4913,43209,
5002,43860,I think I'll give @144347 a try
