conversationId,messageID,text
5306,45893,I have never even heard of that one. I'll have to check it out.
5435,46829,*@204292
5463,46970,*@120003
5479,47102,I'll check out the ones you mentioned as well. Thanks!
5520,47520,Yup @169419
5635,48589,*?
6011,52268,Humphrey Bogart is the star
6027,52392,nd i will sure
6195,53971,your welcome you too bye
6202,53996,*recommendations
6409,55847,*though
6413,55871,*@97219
6493,56636,"Like, I watched @130686 again the other night. it's terrible, lol"
6645,58315,@142186 @163973 and @184098
6646,58336,"your welcome, have a good night"
6654,58437,And no i have not. I should watch it. I love terrible movies. LOL
6658,58488,"your welcome, have a good night"
6735,59323,you might also like @157274
6810,60575,and Bobby Cannavale
